report,date,day,time,rssi_strongest,rssi,rsrq,usuario,ruta,sector,net_op_code,net_type,data_state,data_act,data_rx,data_tx,umts_neighbors,lte_neighbors,psc_pci,rssnr,lat,long,band,arfcn,fecha_hora,distancia_sep,tiempo_sep,cluster,rating,velocidad[m/s],angulo_dir,handover,dif_data_tx,dif_data_rx,rssi_ant,rsrq_ant,dif_potencia,dif_calidad
0,2021-12-15,miércoles,11:58:49,-120.0,-112.0,-12.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146330650.0,135037902.0,0.0,2.0,3.0,7.0,-0.18247639,-78.33188003,2100,2250.0,2021-12-15 11:58:49,0.0,0.0,686,7.09,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-12-15,miércoles,11:58:50,-122.0,-113.0,-11.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146334065.0,135040304.0,0.0,2.0,3.0,7.0,-0.18247639,-78.33188003,2100,2250.0,2021-12-15 11:58:50,0.0,1.0,686,7.2,0.0,0.0,0,2402.0,3415.0,-112.0,-12.0,-1.0,1.0
2,2021-12-15,miércoles,11:58:51,-122.0,-113.0,-11.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146338638.0,135042018.0,0.0,2.0,3.0,7.0,-0.18250114,-78.33189298,2100,2250.0,2021-12-15 11:58:51,3.11,1.0,686,7.2,3.11,242.38,0,1714.0,4573.0,-113.0,-11.0,0.0,0.0
3,2021-12-15,miércoles,11:58:52,-122.0,-113.0,-11.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146348455.0,135046410.0,0.0,2.0,3.0,7.0,-0.18252549,-78.33191259,2100,2250.0,2021-12-15 11:58:52,3.48,1.0,686,7.2,3.48,231.15,0,4392.0,9817.0,-113.0,-11.0,0.0,0.0
4,2021-12-15,miércoles,11:58:53,-121.0,-114.0,-12.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146373610.0,135052387.0,0.0,2.0,3.0,7.0,-0.18255079,-78.3319345,2100,2250.0,2021-12-15 11:58:53,3.72,1.0,686,7.33,3.72,229.11,0,5977.0,25155.0,-113.0,-11.0,-1.0,-1.0
5,2021-12-15,miércoles,11:58:54,-121.0,-114.0,-12.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146413805.0,135068867.0,0.0,2.0,3.0,7.0,-0.18258195,-78.3319621,2100,2250.0,2021-12-15 11:58:54,4.63,1.0,686,7.33,4.63,228.47,0,16480.0,40195.0,-114.0,-12.0,0.0,0.0
6,2021-12-15,miércoles,11:58:55,-121.0,-114.0,-12.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146431174.0,135078815.0,0.0,2.0,3.0,7.0,-0.1826213,-78.33199682,2100,2250.0,2021-12-15 11:58:55,5.84,1.0,80,7.33,5.84,228.58,0,9948.0,17369.0,-114.0,-12.0,0.0,0.0
7,2021-12-15,miércoles,11:58:56,-122.0,-113.0,-11.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146439190.0,135084032.0,0.0,3.0,3.0,7.0,-0.18266803,-78.33203512,2100,2250.0,2021-12-15 11:58:56,6.72,1.0,80,7.2,6.72,230.66,0,5217.0,8016.0,-114.0,-12.0,1.0,1.0
8,2021-12-15,miércoles,11:58:57,-122.0,-113.0,-11.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146456100.0,135088781.0,0.0,3.0,3.0,7.0,-0.1827114,-78.33207835,2100,2250.0,2021-12-15 11:58:57,6.81,1.0,80,7.2,6.81,225.09,0,4749.0,16910.0,-113.0,-11.0,0.0,0.0
9,2021-12-15,miércoles,11:58:58,-122.0,-110.0,-10.0,R,RUTA 1,TABABELA,74001.0,LTE,CONNECTED,INOUT,1146478111.0,135094858.0,0.0,3.0,3.0,7.0,-0.18276,-78.33212159,2100,2250.0,2021-12-15 11:58:58,7.23,1.0,80,6.82,7.23,228.34,0,6077.0,22011.0,-113.0,-11.0,3.0,1.0
